,thhat0,thhat1,thp0,thp1,ob,obp,aq
0,0.5734567901234567,0.9578189300411523,0.5,1.0,2884.291553980974,-2893.3592169096983,0.0
1,0.5734567901234567,0.9578189300411523,0.4675367141485877,1.0078508333896807,2883.753146156054,-2932.871786538204,0.09240172764320603
2,0.5808641975308642,0.9537037037037037,0.6493359697401883,0.7459738357758959,2888.9903761331616,-3027.9194123815873,0.0709960462035145
3,0.5808641975308642,0.9598765432098766,0.42629168219946223,1.1928527317787738,2889.8079879629117,-2967.0299912364653,0.07422359789080434
4,0.5808641975308642,0.9598765432098766,0.49132875157260875,0.9487775340962897,2889.759770809726,-2885.7520760316856,0.07213849037846613
5,0.5771604938271604,0.9537037037037037,0.43260233400212067,0.9848566574052025,2885.7839934986227,-2928.248615182768,0.07219247890141842
6,0.5796296296296296,0.9537037037037037,0.5362089572457599,0.7889918554018174,2886.6573669064765,-2999.3808078562615,0.07339304689940951
7,0.5796296296296296,0.9619341563786008,0.5451177166397008,0.905745236370695,2887.989424416086,-2903.3860447507363,0.07415272613492419
8,0.5796296296296296,0.9639917695473251,0.46201504839728486,0.8994783434995757,2888.8384939941593,-2945.4770999912125,0.07068762289326991
9,0.5820987654320988,0.9681069958847737,0.4496050516315311,0.7975873050914644,2890.162647057351,-3023.698268192401,0.06731841637509085
10,0.5820987654320988,0.9681069958847737,0.7420425434964214,1.083752666765535,2890.1693740670535,-2924.415404238439,0.06722450008682043
11,0.5858024691358025,0.9722222222222222,0.5969679271998468,0.9220328739058391,2889.34965632716,-2899.033696384016,0.06741877460568746
12,0.5845679012345679,0.9722222222222222,0.5202788171057484,1.0715040401819447,2890.063135770765,-2916.733996151559,0.06813866564958238
13,0.5858024691358025,0.9701646090534979,0.5854719945110667,0.9141084650180706,2890.624221128064,-2910.9449310693253,0.0515439414624838
14,0.5833333333333334,0.9742798353909465,0.5245175266457706,0.8851206223797488,2892.294174489392,-2938.458082911008,0.05030282968332698
15,0.5858024691358025,0.9783950617283951,0.5541393505473193,0.8329498789789239,2893.27239676464,-2939.7546006981474,0.05123471320313298
16,0.5845679012345679,0.9783950617283951,0.45417451835795053,0.9864740231933982,2893.228881536647,-2938.03983218373,0.05404977597126549
17,0.5895061728395062,0.9763374485596708,0.572543466730837,0.8960374601247071,2894.521424722721,-2905.140335670041,0.053057421717118525
18,0.5895061728395062,0.9763374485596708,0.6192837857090162,0.9740347262953345,2894.2916011813504,-2909.7665630882457,0.051457765528985705
19,0.5858024691358025,0.9742798353909465,0.5427877925108141,0.9231075315985635,2896.4307087230436,-2888.1702695504755,0.05098191675622029
20,0.5858024691358025,0.9701646090534979,0.599405143576313,0.9676723659563209,2895.242235286785,-2899.087902659017,0.04089680455043043
